#{"t_start": 1781751887.5165713, "env_id": "highway-v0"}
r,l,t
2.686464,6,6.123868
1.636882,4,9.100034
0.0,1,9.854347
1.835595,5,13.403886
0.47099,2,14.88925
0.888889,3,17.067466
0.0,1,17.821689
3.128785,6,22.074697
3.190884,7,27.085737
2.003662,5,30.768653
5.215471,9,37.201043
2.001106,4,40.08439
0.75828,2,41.584401
2.109544,4,44.567128
1.665927,4,47.483206
0.0,1,48.250152
3.255961,7,53.29962
2.619116,6,57.749091
10.388923,18,70.747791
0.888889,3,72.999762
4.000037,7,78.180377
1.0259,3,80.413446
3.620554,8,86.329587
3.2399,7,91.414455
0.0,1,92.114828
0.905589,3,94.233659
3.051696,6,98.695115
2.114995,5,102.36119
0.444444,2,103.860947
0.710946,2,105.313454
1.333333,4,108.227173
0.888889,3,110.460241
4.334244,8,116.309582
0.598576,2,117.76075
1.333333,4,120.729703
2.040912,5,124.359066
1.575449,4,127.241401
0.888889,3,129.404735
0.0,1,130.177354
0.0,1,130.908121
0.0,1,131.627757
0.0,1,132.365864
0.637238,2,133.866957
0.603415,2,135.291232
6.90885,12,144.125866
2.331949,5,147.822996
3.617224,8,153.674812
0.888889,3,155.872231
1.477603,4,158.821747
0.0,1,159.557244
1.751402,4,162.521415
0.0,1,163.274848
2.065691,4,166.2209
2.656938,5,169.837343
0.709989,2,171.303801
2.781856,6,175.77
0.666168,2,177.222262
5.082248,9,183.869622
1.333333,4,186.752193
1.937738,5,191.28503
2.214116,5,195.123808
0.56426,2,196.623336
1.333333,4,199.484222
2.714281,6,203.900055
0.888889,3,206.115022
4.978304,8,211.812686
0.0,1,212.50838
2.122984,5,216.113631
0.6833,2,217.532311
3.194949,6,221.831803
5.89884,12,230.531058
8.408481,17,242.813079
11.214689,20,257.644844
1.333333,4,260.530263
3.695529,7,265.59384
3.291773,7,270.911733
4.286925,7,276.175966
0.0,1,276.925887
9.054462,18,289.991139
2.004125,5,293.640693
0.888889,3,295.840393
0.0,1,296.557027
2.435875,5,300.189858
1.731204,4,303.175497
3.122528,7,308.338984
4.258189,9,314.836747
0.0,1,315.571421
1.55143,4,318.489512
2.021706,5,322.004053
8.06384,18,335.171562
2.29213,5,338.752068
4.557877,9,345.284527
1.423293,3,347.520703
1.333333,4,350.506581
6.642517,11,358.416365
0.888889,3,360.669007
4.683632,9,367.334187
4.714088,10,374.614499
0.0,1,375.364334
9.288949,19,389.627645
0.929886,3,391.829117
4.824568,9,398.245208
1.466848,4,401.113224
2.473137,6,405.44422
0.444444,2,406.929941
0.939313,3,409.060319
3.047759,6,413.359939
1.708518,4,416.242907
7.451247,15,427.108423
14.428382,25,445.322906
1.667578,4,448.289155
3.479928,8,454.124358
0.0,1,454.838552
4.056544,7,459.840389
5.550979,11,467.808531
0.0,1,468.556355
0.678647,2,470.053329
7.448504,14,480.402118
0.0,1,481.234933
3.15018,6,485.568151
1.555595,3,487.767854
0.444444,2,489.251104
3.942473,8,494.95253
13.407363,23,511.548331
3.882513,8,517.380439
10.703084,15,528.163844
9.995344,19,542.011623
2.123501,5,545.59736
1.990039,5,549.377307
2.004226,4,552.414626
14.569353,23,569.613394
11.287194,23,586.574562
7.201781,13,595.857523
0.6527,2,597.340063
9.15596,17,609.63959
11.684115,17,621.987818
12.293121,25,640.150059
5.729316,10,647.315816
2.335852,5,650.970224
2.638001,6,655.348223
0.0,1,656.117415
14.376827,26,675.631711
0.777712,2,677.279161
4.981395,10,684.614136
2.112951,5,688.313593
9.154371,14,698.443269
8.257109,17,710.824976
1.704209,4,713.727028
1.579536,4,716.662748
0.0,1,717.411625
2.299396,5,720.995439
5.636882,11,729.012222
12.59313,19,742.823806
11.44674,18,756.369803
9.735729,21,771.451395
0.888889,3,773.65106
21.708309,41,803.566086
14.505991,24,820.911744
4.231159,9,827.444756
2.446111,5,831.130159
9.923156,19,845.027626
9.78494,19,859.176911
0.444444,2,860.657541
23.052705,45,894.536939
0.460548,2,896.022326
7.47883,13,905.688901
0.0,1,906.469752
18.102661,34,931.615439
4.880545,9,938.434366
10.798928,19,952.896861
8.615721,13,962.462266
2.615137,6,966.861707
4.517102,8,972.860904
9.767467,18,986.226143
2.856437,6,990.708855
0.501124,2,992.2087
3.429766,8,998.174672
11.723477,19,1012.256373
11.132461,16,1024.054958
4.636592,9,1031.22328
13.850597,25,1049.822634
9.644085,20,1064.800233
10.854262,19,1079.081831
4.811758,10,1086.516393
9.625468,18,1099.948887
13.842925,25,1118.527328
5.198565,9,1125.345605
6.469065,12,1134.861339
67.984011,138,1238.327955
15.299112,26,1258.035339
7.061952,16,1270.02622
0.0,1,1270.796883
4.616461,9,1277.725276
9.574333,19,1291.955796
20.173309,38,1320.436952
4.42574,9,1327.802795
7.319114,15,1338.983317
10.519936,16,1350.866637
12.769062,25,1369.397843
31.900096,67,1419.50866
13.535003,24,1437.339817
5.072873,10,1444.755799
58.276002,127,1539.790736
20.958973,35,1565.928071
26.441939,60,1610.886252
56.022013,116,1697.059311
59.410761,130,1794.26762
22.414785,43,1827.060898
14.637128,22,1843.392313
0.0,1,1844.125453
22.551812,38,1872.438992
16.52946,30,1894.752882
86.328962,192,2037.905529
