#{"t_start": 1781730422.2210987, "env_id": "highway-v0"}
r,l,t
12.101821,15,12.453014
26.118677,45,44.197693
12.723809,25,61.048073
43.622285,66,106.473058
23.720244,33,129.30337
47.581427,77,184.169477
47.561324,80,240.839002
47.363372,63,285.699959
7.706186,10,292.698962
42.418385,60,339.189315
28.248987,40,377.273067
15.835853,19,391.585878
22.595745,30,412.483454
11.733215,17,424.400842
28.389094,31,445.995909
17.69509,28,465.543007
8.276445,11,473.341389
8.065047,13,482.691298
10.975154,13,491.840101
12.410881,20,505.938226
36.525738,44,537.20104
32.395408,45,569.796605
31.549037,52,606.57519
47.777001,73,658.935129
21.037306,31,681.302384
59.954519,75,734.645113
9.700721,13,744.545454
45.947837,53,783.002555
11.728102,18,795.955715
17.628464,31,818.148196
9.683903,15,828.879969
9.999315,13,838.49538
13.408324,26,857.443049
7.59094,9,863.910804
10.993251,16,875.540655
24.615383,32,898.495502
16.254727,24,915.74127
14.363191,22,932.315738
62.116737,97,1002.857573
117.696789,157,1118.775993
45.752322,85,1181.618059
5.473286,8,1187.533804
10.448208,13,1196.979089
7.012668,9,1203.699145
19.967831,39,1232.447023
27.542784,34,1257.275051
18.053724,23,1274.306012
26.095102,55,1315.35236
36.161224,75,1370.631932
104.095139,157,1487.014395
18.653768,27,1507.492771
43.86745,72,1560.394125
28.20089,55,1600.830604
5.324422,7,1605.963245
19.497772,35,1631.512255
22.006336,39,1660.40622
88.379636,162,1779.674327
16.063864,33,1803.821236
149.989857,300,2023.578146
10.72415,21,2039.209868
156.712957,300,2259.945702
19.153574,33,2284.675858
65.023007,110,2365.26544
85.583456,153,2478.556838
119.232987,233,2651.328688
139.953562,250,2842.35372
14.626542,19,2859.534835
32.242798,49,2896.547717
19.309708,25,2915.944528
17.117217,30,2938.491704
64.030497,120,3028.48003
148.141373,277,3332.447189
154.7168,300,3722.923069
125.359214,248,3964.032441
143.205037,300,4250.811706
74.597973,139,4380.976843
149.210254,300,4695.50726
29.964413,64,4769.908861
140.096042,300,5062.035104
118.31444,246,5334.781417
139.465842,300,5607.588462
143.000927,300,5882.754642
6.107366,13,5894.562181
134.275523,272,6209.949173
130.099743,276,6479.211329
138.608086,300,6774.280285
140.857031,300,7075.478881
55.293622,116,7186.492155
137.000248,300,7480.294529
141.986579,300,7766.739118
137.732975,300,8040.378607
7.529716,15,8054.047382
148.404597,300,8438.744316
145.34416,300,8773.252236
49.150348,102,8868.111918
142.733942,300,9142.136108
141.377507,300,9425.17143
80.139991,171,9580.702691
39.044048,82,9654.333162
139.322855,300,9932.225223
136.756814,300,10231.863504
60.456744,130,10357.953318
21.866213,47,10404.179574
51.498681,110,10513.301375
11.223232,25,10536.306508
10.787581,22,10556.557728
146.725536,298,10835.44465
18.843889,41,10873.236838
86.653885,192,11059.791537
138.901889,300,11356.296534
132.774811,282,11618.434148
89.700929,190,11793.840305
139.54256,300,12027.707507
139.193517,300,12243.813431
140.60531,300,12456.237217
71.6654,144,12558.624349
116.755296,249,12734.902126
5.902731,11,12742.618719
145.305258,300,12955.941054
54.126854,116,13037.980688
94.879301,208,13186.595329
123.200349,274,13382.089464
27.063266,53,13420.399306
97.352903,216,13577.162863
136.199747,300,13797.501665
143.509079,300,14015.957393
46.099587,97,14086.55435
137.718374,300,14305.03756
139.424926,300,14525.242996
138.710958,300,14744.432016
112.155402,245,14919.859719
6.707762,10,14926.958867
134.823963,300,15143.648041
89.715042,192,15280.633673
111.585581,246,15456.225227
22.209983,46,15488.721107
138.988735,300,15702.160723
136.139821,300,15915.783297
140.863668,300,16128.906611
140.635982,300,16343.262276
134.825109,278,16540.689778
142.457093,300,16753.460643
99.067647,205,16898.658979
143.002091,300,17114.681044
57.655587,119,17199.357332
96.240799,208,17352.334643
5.861497,10,17359.417033
35.525424,70,17409.527419
81.462118,172,17532.395059
23.293765,46,17564.642806
56.905454,117,17648.430278
61.090721,131,17740.801929
66.722293,137,17838.822755
159.893117,300,18052.264426
143.936233,300,18266.618391
74.756044,142,18367.038949
15.443654,28,18387.523158
47.999056,75,18441.036995
146.691266,300,18654.169326
121.623607,255,18835.379573
87.36517,183,18966.129604
12.550229,28,18985.879184
28.361958,60,19028.321629
147.072056,300,19241.961053
96.432701,191,19378.243787
140.88556,300,19593.156651
51.864883,107,19670.140038
71.627756,144,19773.095649
140.871909,300,19988.275512
144.439047,300,20204.283459
89.531156,195,20343.168823
145.915756,300,20556.481977
