#{"t_start": 1781481845.4348516, "env_id": "highway-v0"}
r,l,t
34.4,44,2198.658063
240.0,300,2231.803856
180.0,226,2256.883704
39.2,50,2262.449778
197.6,248,2290.202276
12.8,17,2292.148097
240.0,300,2325.560063
240.0,300,2358.670625
167.2,210,2382.667488
34.4,44,2387.571947
166.4,209,4705.727653
111.2,140,4721.814041
103.2,130,4736.660271
240.0,300,4772.103155
191.2,240,4802.636992
42.4,54,4808.934667
68.0,86,4818.920624
111.2,140,4836.441976
240.0,300,4871.307456
240.0,300,4904.306538
200.8,252,7285.957198
65.6,83,7295.909283
240.0,300,7330.572914
56.8,72,7338.870049
240.0,300,7374.153139
240.0,300,7408.868932
16.0,21,7411.264078
240.0,300,7445.931224
72.8,92,7456.627378
240.0,300,7491.691173
67.2,85,9852.950741
63.2,80,9862.270956
240.0,300,9897.225991
29.6,38,9901.66421
240.0,300,9937.494205
240.0,300,9972.7035
240.0,300,10007.556757
164.0,206,10030.750853
7.2,10,10031.886114
100.8,127,10046.75783
5.6,8,12396.66037
51.2,65,12404.227637
52.8,67,12412.088989
5.6,8,12412.960266
63.2,80,12422.291817
12.0,16,12424.183785
42.4,54,12430.557114
44.0,56,12437.104154
28.8,37,12441.395798
12.0,16,12443.255339
240.0,300,14851.342381
107.2,135,14867.13762
211.2,265,14898.23361
240.0,300,14933.299777
240.0,300,14968.0247
240.0,300,15002.253404
120.8,152,15019.753902
4.8,7,15020.597301
52.0,66,15028.285607
240.0,300,15062.732067
157.6,198,17309.658571
92.8,117,17322.406292
240.0,300,17355.05069
108.8,137,17369.967325
22.4,29,17373.181744
25.6,33,17376.731367
240.0,300,17409.782059
120.8,152,17426.341512
153.6,193,17447.276752
240.0,300,17480.184513
22.4,29,19758.94018
38.4,49,19764.306464
8.8,12,19765.639448
19.2,25,19768.429404
74.4,94,19779.119155
29.6,38,19783.288939
23.2,30,19786.665005
37.6,48,19791.952575
12.0,16,19793.770503
52.0,66,19801.196524
240.0,300,22143.656163
14.4,19,22145.989753
240.0,300,22180.279942
240.0,300,22215.135465
34.4,44,22220.110391
18.4,24,22222.834185
240.0,300,22257.656269
88.0,111,22270.648309
109.6,138,22287.020336
14.4,19,22289.201344
11.2,15,24649.628901
240.0,300,24685.173236
47.2,60,24692.22187
31.2,40,24697.21209
240.0,300,24732.539163
120.0,151,24750.058184
32.0,41,24755.085371
240.0,300,24790.619212
7.2,10,24791.853574
240.0,300,24826.825981
10772,11,248.277174
9.6,13,249.62715
19.696408,24,252.060192
84.187785,106,262.758771
28.156081,36,266.408263
59.523748,75,273.976312
44.148406,55,279.527087
4.197623,6,280.137929
8.526174,11,281.230797
6.417,9,282.089447
29.251435,37,285.874429
30.591725,39,289.887134
20.116744,26,292.507954
21.6,28,295.421208
22.912251,29,298.370703
25.749292,33,301.770265
4.903245,7,302.520062
40.702508,51,307.686083
24.200803,31,310.87182
7.2,10,311.902432
21.6,28,314.768563
24.2225,31,317.934847
16.052069,21,320.07086
14.671171,19,321.984301
15.262271,20,324.032514
31.214458,40,328.218907
6.02063,8,329.287197
12.836439,17,331.152966
8.367576,11,332.249604
17.6,23,334.565989
20.959202,26,337.241919
16.312046,20,339.31536
12.769634,16,340.973207
28.243465,35,344.617776
6.852526,9,345.564543
10.4,14,347.01432
20.447675,25,349.499534
16.508079,21,351.697232
4.15918,6,352.282514
6.4,9,353.213512
30.548211,38,357.196399
42.099433,53,362.915141
28.481247,36,366.614742
10.4,14,368.046621
19.336622,25,370.611243
12.8,17,372.430998
16.188207,21,374.615841
6.475552,9,375.578987
5.939182,8,376.36377
4.216923,6,376.995785
7.52344,10,378.043759
5.162607,7,378.762466
19.2,25,381.261921
25.91506,32,384.526022
17.6,23,386.810853
26.468423,33,390.258722
21.6,28,393.37378
9.407952,12,394.593553
33.607983,43,398.977101
7.362693,10,399.939893
34.333063,42,404.184782
4.826835,7,404.93781
34.4,44,409.439395
45.684828,57,415.171669
5.86147,8,415.990458
30.620763,38,420.024504
16.024475,21,422.176114
14.546275,18,424.006258
