#{"t_start": 1781712201.8943045, "env_id": "highway-v0"}
r,l,t
0.444444,2,2.067009
0.0,1,2.181392
0.638054,2,2.382388
1.610451,4,2.750526
0.698667,2,2.947284
3.602644,7,3.564281
0.0,1,3.666248
2.853673,6,4.200063
0.762701,2,4.404482
3.211463,7,5.018545
1.852217,4,5.380571
1.629729,4,5.766409
3.578532,7,6.416703
4.890393,8,7.142534
7.207264,12,8.20892
2.236889,5,8.663881
0.472873,2,8.872687
2.544897,5,9.331102
0.0,1,9.444589
2.312409,5,9.894033
2.302583,5,10.38592
3.260806,7,11.04098
1.08976,3,11.323892
2.448437,5,11.780858
0.888889,3,12.06472
1.333333,4,12.471317
3.93934,7,13.081547
0.594082,2,13.263101
1.193526,3,13.545357
0.613234,2,13.745132
2.087203,5,14.196425
6.153218,11,15.147088
3.090281,6,15.694579
1.155228,3,15.980767
2.969401,7,16.565041
0.444444,2,16.747211
1.554058,4,17.113494
1.870502,4,17.474894
2.106182,4,17.846021
6.199569,12,18.863258
3.19432,6,19.39699
0.560219,2,19.585798
0.0,1,19.680222
1.539127,4,20.05103
3.8058,7,20.662001
1.591791,4,21.042222
5.399676,10,21.900386
0.600117,2,22.094336
1.15295,3,22.363724
1.306784,3,22.628737
5.506396,10,23.503438
2.561899,5,23.93665
0.444444,2,24.128601
1.978937,5,24.561808
0.62079,2,24.745292
1.61887,4,25.111828
2.49479,6,25.64501
4.853413,10,26.511608
1.120362,3,26.801876
12.932262,22,28.661275
7.751763,14,29.877762
1.007462,3,30.144402
0.664497,2,30.344451
6.754735,10,31.229594
1.346577,3,31.510992
1.333333,4,31.862979
1.599681,4,32.210792
0.0,1,32.310806
3.574183,6,32.862973
2.406343,5,33.310733
0.0,1,33.427372
0.0,1,33.527508
3.188106,6,34.079548
0.888889,3,34.343881
1.394544,3,34.612606
1.374598,3,34.897882
1.144584,3,35.160393
4.858652,9,35.943691
0.719221,2,36.143819
0.0,1,36.243625
1.883527,5,36.704858
1.513553,4,37.067324
1.065658,3,37.343508
2.103599,5,37.77674
3.105246,6,38.326711
1.95255,5,38.777282
2.707291,6,39.309921
0.633871,2,39.509902
3.410487,6,40.02819
0.0,1,40.129093
0.444444,2,40.326551
5.207874,9,41.100869
0.444444,2,41.309677
8.283483,14,42.560708
2.599828,5,43.042741
2.241907,5,43.508689
2.799018,6,44.059267
5.073796,8,44.759174
0.444444,2,44.959215
1.333333,4,45.325409
4.123515,8,46.04231
0.986262,3,46.325757
3.430107,6,46.902178
0.888889,3,47.175514
0.444444,2,47.358874
0.444444,2,47.5622
2.637865,6,48.125441
3.506967,7,48.758647
5.481991,10,49.695271
2.16418,5,50.158462
3.083606,6,50.706823
2.542046,5,51.17569
0.0,1,51.278905
15.490834,27,53.608051
0.0,1,53.710051
0.444444,2,53.891339
1.96694,5,54.362257
1.117796,3,54.657816
0.0,1,54.75794
8.518032,17,56.241092
1.529066,4,56.607605
3.37611,7,57.224375
2.163191,5,57.683018
3.799296,7,58.307477
3.777265,7,58.939461
0.967508,3,59.207323
4.19494,7,59.840724
0.489155,2,60.023956
6.335932,11,60.990697
0.999742,3,61.257017
3.923865,7,61.886477
6.654651,12,62.923177
3.292324,6,63.456457
2.666371,6,63.992669
4.189935,8,64.690059
0.965743,3,64.97923
2.707569,6,65.523263
2.803281,6,66.039804
5.770892,10,66.90635
0.667849,2,67.093863
2.869241,6,67.639533
1.104162,3,67.908215
3.267404,7,68.523134
2.44294,5,68.976607
2.959448,6,69.489376
1.113757,3,69.755984
5.127365,8,70.455879
0.0,1,70.575432
3.29234,7,71.189157
0.630268,2,71.3559
7.929815,15,72.655567
3.0481,5,73.088961
2.860255,6,73.622118
0.480319,2,73.811316
2.073721,5,74.25547
2.523523,6,74.788707
3.026578,6,75.338676
5.293943,10,76.188488
6.5757,12,77.204914
5.812951,11,78.154969
0.0,1,78.269479
2.082342,5,78.704784
3.225148,6,79.23806
0.444444,2,79.423379
0.0,1,79.531086
3.949937,7,80.138002
1.665082,4,80.504485
2.307064,5,80.940008
1.301946,3,81.240146
6.609769,12,82.254282
0.0,1,82.354263
4.101511,8,83.056385
1.048474,3,83.354124
1.089504,3,83.637482
5.505539,10,84.504078
0.890858,3,84.773078
7.38476,11,85.753939
5.244597,10,86.591294
0.679921,2,86.778127
0.0,1,86.887126
10.186044,17,88.336854
0.55505,2,88.520254
1.954479,5,88.968033
1.070606,3,89.253372
2.509798,6,89.788793
3.231568,6,90.320054
0.936735,3,90.603373
3.461735,7,91.219793
1.004276,3,91.51978
0.888889,3,91.786749
2.532494,5,92.221755
3.836542,7,92.835881
0.0,1,92.93611
1.746378,4,93.302987
1.053826,3,93.569169
0.0,1,93.652817
0.626567,2,93.852859
0.444444,2,94.036153
2.93256,5,94.485991
0.0,1,94.586
1.118408,3,94.870021
2.729605,6,95.402583
6.916253,14,96.585846
1.409996,3,96.85242
7.263293,14,98.035729
3.443659,6,98.584238
0.0,1,98.687594
5.219357,10,99.543193
2.232201,5,99.987498
3.487789,7,100.607681
1.522568,4,100.951953
5.20457,10,101.849126
0.888889,3,102.170909
2.127019,5,102.668399
0.888889,3,102.955973
0.45117,2,103.151634
8.696112,14,104.384779
1.075132,3,104.684752
3.043798,6,105.218024
1.624581,4,105.584745
6.105266,11,106.551294
3.262574,7,107.184564
0.444444,2,107.38578
3.569709,7,108.000919
3.470572,7,108.651009
1.059517,3,108.936064
4.731066,8,109.650751
5.482637,11,110.600658
1.850949,4,110.983877
0.0,1,111.083874
1.06801,3,111.369367
0.0,1,111.484534
0.725261,2,111.66722
6.172737,10,112.500348
3.823352,7,113.117023
0.691142,2,113.300406
1.03931,3,113.583751
1.561588,4,113.934386
1.111712,3,114.183521
5.454208,9,114.936953
0.730601,2,115.134269
7.149525,13,116.247142
1.998494,4,116.599975
2.531106,6,117.129568
0.524391,2,117.319944
2.845191,6,117.852952
1.172319,3,118.131614
4.675198,9,118.916348
1.988125,5,119.417509
0.888889,3,119.699427
1.036514,3,119.966199
2.828891,6,120.499423
1.49723,4,120.852507
1.59001,4,121.216053
0.0,1,121.315957
4.463748,10,122.182536
0.89005,3,122.465719
2.145427,5,122.898993
6.743126,12,123.939772
2.146258,5,124.368049
9.408866,17,125.853106
0.888889,3,126.126141
4.484531,9,126.898721
4.468365,9,127.665052
0.609387,2,127.848452
0.444444,2,128.031808
0.444444,2,128.215044
1.333333,4,128.598447
4.452753,8,129.281624
7.286713,13,130.414754
2.252892,4,130.764886
0.0,1,130.866981
0.0,1,130.981295
3.494552,7,131.581272
5.328526,8,132.275064
2.247932,5,132.731048
0.444444,2,132.914415
1.576821,4,133.264367
1.347363,3,133.547759
2.224457,5,133.997574
0.714223,2,134.180896
0.0,1,134.266663
2.055841,5,134.73288
2.000179,5,135.182771
1.851968,4,135.549584
0.444444,2,135.747465
0.517819,2,135.930657
5.186963,9,136.733369
5.957946,10,137.597157
0.60212,2,137.805223
6.071991,12,138.820194
1.579863,4,139.182395
0.745998,2,139.380255
3.521867,7,140.013489
1.389599,4,140.380243
0.581382,2,140.580052
0.734183,2,140.765465
3.517721,7,141.379937
3.688913,8,142.065634
1.021053,3,142.329855
4.315987,7,142.946465
1.333333,4,143.31301
2.171401,5,143.763032
2.050739,5,144.196285
0.700752,2,144.379625
3.397548,7,144.996264
3.034467,7,145.616121
1.074195,3,145.898057
3.01433,6,146.412693
1.564527,4,146.7815
0.0,1,146.879329
1.459535,4,147.229295
3.002251,7,147.848172
3.597729,6,148.3624
0.444444,2,148.547765
3.058759,6,149.078923
2.962299,6,149.607446
0.444444,2,149.798246
1.993084,4,150.14541
4.121501,8,150.847071
0.888889,3,151.112063
0.888889,3,151.395052
0.44521,2,151.562121
4.321143,7,152.178573
4.796589,9,152.980891
6.326038,11,153.911757
2.216609,5,154.361614
0.444444,2,154.54514
0.0,1,154.661415
3.096419,6,155.178278
5.997785,11,156.101714
0.0,1,156.204929
3.847864,8,156.927567
1.061715,3,157.197525
6.37439,11,158.128441
1.279097,3,158.397355
2.842592,6,158.943253
2.092823,5,159.377747
3.493698,7,159.977636
3.383607,6,160.515774
1.580241,4,160.880064
1.470152,4,161.227498
1.847504,4,161.577514
2.218169,5,162.010761
2.820133,6,162.527179
5.496922,11,163.477117
1.691585,4,163.860403
1.962197,4,164.210583
0.943135,3,164.476949
0.902918,3,164.743755
3.372887,7,165.360287
7.889753,14,166.543529
3.5646,7,167.160007
0.888889,3,167.426756
1.085358,3,167.709953
1.821697,4,168.059946
3.082738,7,168.676534
0.0,1,168.778418
1.600912,4,169.143002
1.422267,3,169.409687
1.531146,4,169.791685
1.333333,4,170.142989
2.291031,5,170.602691
5.370948,9,171.391428
0.69006,2,171.576201
2.530947,5,172.024803
1.208502,3,172.277972
2.773871,5,172.725981
0.0,1,172.832583
1.048144,3,173.07585
6.734792,14,174.259049
0.888889,3,174.542409
0.888889,3,174.809114
2.28589,5,175.242221
2.962014,6,175.79424
2.842564,6,176.308862
6.701216,14,177.495998
4.241849,8,178.186992
0.444444,2,178.35861
8.644507,16,179.71053
1.009337,3,179.993998
1.333333,4,180.358261
2.071574,5,180.807058
0.0,1,180.894386
2.082911,5,181.358065
1.333333,4,181.708004
6.795219,12,182.741431
2.408877,5,183.183366
1.071346,3,183.478446
0.9425,3,183.743159
3.339361,7,184.387282
0.993751,3,184.657745
5.315286,9,185.42431
2.010409,5,185.882199
5.252054,9,186.642789
4.167569,7,187.307467
1.081552,3,187.640711
2.43275,5,188.090701
2.739072,6,188.607249
2.956154,6,189.140521
5.737762,10,190.007116
2.209391,5,190.477818
0.444444,2,190.659223
3.830964,8,191.379387
0.667386,2,191.556772
4.967333,9,192.340005
0.888889,3,192.606782
0.699575,2,192.792253
2.04771,5,193.239897
2.559658,5,193.691906
4.536162,8,194.38501
8.054206,16,195.754833
4.068312,8,196.441843
0.444444,2,196.639577
4.171658,8,197.334253
2.052953,5,197.782462
1.724898,4,198.139193
1.333333,4,198.507254
0.0,1,198.605893
0.523776,2,198.785377
0.0,1,198.888945
0.0,1,198.987348
5.332627,11,199.922471
0.444444,2,200.105645
5.362793,9,200.905541
0.0,1,201.005593
0.0,1,201.105566
1.890756,4,201.472166
1.557837,4,201.83889
0.608533,2,202.038818
1.333333,4,202.388809
1.298272,3,202.672093
4.616272,8,203.371948
0.492428,2,203.555223
0.0,1,203.655288
1.19383,3,203.942689
9.210876,16,205.304967
1.090574,3,205.556194
1.014828,3,205.838308
1.05769,3,206.109912
6.198003,12,207.140237
1.096373,3,207.421489
0.941942,3,207.704715
1.466089,4,208.054656
0.667196,2,208.254597
1.246233,3,208.524337
2.153156,5,208.971273
0.0,1,209.073275
0.516271,2,209.273542
9.860769,15,210.556792
2.339084,5,211.004174
0.494253,2,211.205881
1.144482,3,211.487592
3.948066,7,212.087417
1.517199,4,212.454169
0.589977,2,212.637397
0.610246,2,212.820338
3.713437,7,213.439289
0.0,1,213.537244
4.922519,9,214.369527
3.07562,6,214.903902
1.620977,4,215.255883
0.553234,2,215.437023
2.144429,4,215.805707
0.940628,3,216.087087
0.0,1,216.186916
0.607891,2,216.387017
1.147453,3,216.63684
2.176568,5,217.103552
2.084821,5,217.55353
1.333333,4,217.905299
1.022111,3,218.18661
4.040125,7,218.803265
1.624581,4,219.153265
6.008302,11,220.119794
1.333333,4,220.469829
5.14815,9,221.274855
2.907258,6,221.803093
0.0,1,221.902783
0.0,1,222.002764
4.573756,9,222.786081
3.775192,7,223.402275
1.981472,4,223.752739
0.444444,2,223.936334
5.135111,9,224.719143
0.546448,2,224.918751
1.90922,5,225.352406
0.475289,2,225.571156
1.541147,4,225.947542
1.19202,3,226.221053
5.949253,12,227.236356
2.050981,4,227.585527
6.77153,11,228.550199
1.725226,4,228.885417
0.457519,2,229.068606
0.0,1,229.151968
0.480273,2,229.350098
2.469218,5,229.787521
0.0,1,229.88837
3.853615,8,230.589149
0.0,1,230.698772
0.444444,2,230.885163
1.78251,4,231.251647
3.552828,7,231.851559
3.156824,6,232.387157
1.391474,3,232.651515
4.52183,8,233.351404
3.981968,7,233.946434
0.594835,2,234.118131
3.921536,8,234.817793
3.297076,7,235.442276
0.0,1,235.546252
1.005393,3,235.820051
4.818454,10,236.68426
1.976214,5,237.136128
1.020999,3,237.417619
0.0,1,237.517317
3.548614,6,238.036966
0.0,1,238.134979
1.308763,3,238.400705
2.490966,6,238.917278
4.44321,9,239.71736
0.0,1,239.80325
1.341504,4,240.167234
0.756729,2,240.367136
1.620266,4,240.734735
4.355047,8,241.442527
1.551108,4,241.78362
0.0,1,241.900379
1.417397,4,242.26533
2.858663,5,242.700144
2.805264,6,243.266807
2.855968,6,243.800099
1.388421,4,244.164808
3.97243,7,244.766635
0.572159,2,244.950105
3.729793,7,245.570863
3.444325,6,246.10206
