#{"t_start": 1780751807.5164056, "env_id": "roundabout-v0"}
r,l,t
3.25,5,292.975288
26.458333,33,294.53778
26.541667,33,296.209777
19.0,22,297.029081
15.0,18,297.772334
25.916667,33,590.6249
11.416667,15,591.216049
25.916667,33,592.479469
10.583333,14,593.074857
26.291667,33,594.341882
26.125,33,875.715383
2.333333,4,876.051745
26.125,33,878.298836
26.166667,33,880.416863
26.125,33,882.48814
2.333333,4,1139.732332
26.125,33,1141.296497
3.125,5,1141.613163
26.125,33,1143.180512
2.333333,4,1143.373342
25.291667,33,1436.887326
25.291667,33,1438.959647
9.583333,12,1439.841636
25.291667,33,1442.043331
2.583333,4,1442.382884
26.125,33,1742.119678
2.333333,4,1742.414093
14.208333,19,1743.714075
26.125,33,1745.787976
26.125,33,1747.616416
5.416667,7,1985.582924
25.541667,33,1986.735463
25.541667,33,1988.280567
25.541667,33,1990.208305
25.541667,33,1991.756971
25.541667,33,2220.195461
25.541667,33,2221.804773
25.541667,33,2223.477267
5.458333,7,2223.78622
9.833333,12,2224.293517
25.541667,33,2468.242567
25.541667,33,2469.204646
25.541667,33,2470.179593
25.541667,33,2471.199142
25.541667,33,2472.176225
25.541667,33,2613.32743
5.458333,7,2613.504668
8.958333,11,2613.780793
25.541667,33,2614.527211
25.541667,33,2615.298773
23.791667,33,2738.028013
5.458333,7,2738.212687
25.541667,33,2739.031085
25.541667,33,2739.783974
10.083333,12,2740.081313
28.041667,33,2865.597667
28.166667,33,2866.394852
28.166667,33,2867.177336
5.458333,7,2867.353412
2.833333,4,2867.461075
28.166667,33,2990.74038
28.166667,33,2991.509701
28.125,33,2992.270992
28.166667,33,2992.997343
28.166667,33,2993.768642
5.416667,7,3118.178979
5.458333,7,3118.362766
8.958333,11,3118.682081
8.958333,11,3118.958905
8.958333,11,3119.239577
5.458333,7,3232.710789
5.416667,7,3232.883564
28.208333,33,3233.629886
28.125,33,3234.39679
5.416667,7,3234.573505
9.541667,11,3365.053501
27.333333,33,3365.995919
